frame,time_remaining,score_a,score_b
22440,132,108,185
22500,132,108,140
22560,137,108,140
22620,137,108,41
22680,137,108,141
22740,137,108,148
22800,138,108,148
22860,136,108,148
22920,135,108,148
22980,134,108,148
23040,131,108,148
23100,137,108,148
23160,,108,148
23220,190,108,148
23280,,108,148
23340,,108,148
23400,,108,148
23460,,104,148
23520,,105,148
23580,,108,148
23640,,107,148
23700,,108,148
23760,,108,148
23820,,50,148
23880,,17,148
23940,,,148
24000,,,148
24060,,,148
24120,,,148
24180,,,148
24240,,,148
24300,,,148
24360,,50,148
24420,,50,148
24480,,50,148
24540,,50,148
24600,,50,148
24660,,50,148
24720,,50,144
24780,,50,145
24840,,50,145
24900,,50,145
24960,,50,145
25020,,210,145
25080,,210,145
25140,,210,145
25200,152,210,145
25260,122,210,145
25320,122,,145
25380,122,188,145
25440,122,250,145
25500,127,241,145
25560,158,241,145
25620,158,241,145
25680,68,219,145
25740,68,219,145
25800,158,187,145
25860,128,213,145
25920,216,219,145
25980,125,219,145
26040,125,210,145
26100,125,82,145
26160,125,115,145
26220,125,150,145
26280,65,150,145
26340,63,150,145
26400,61,150,145
26460,127,150,145
26520,127,150,145
26580,,150,145
26640,,150,145
26700,,241,145
26760,,119,145
26820,,119,145
26880,,120,145
26940,,119,145
27000,150,119,145
27060,60,219,145
27120,60,119,145
27180,60,41,145
27240,60,118,145
27300,60,150,145
27360,60,170,145
27420,60,119,145
27480,60,119,145
27540,60,,145
27600,60,118,145
27660,60,119,145
27720,60,190,145
27780,60,84,145
27840,472,84,145
27900,472,84,145
27960,472,198,145
28020,472,198,145
28080,472,194,145
28140,477,194,145
28200,477,195,145
28260,477,198,145
28320,477,197,145
28380,477,198,145
28440,477,198,145
28500,478,198,145
28560,478,198,145
28620,478,190,145
28680,478,,145
28740,478,198,145
28800,478,198,145
28860,478,194,145
28920,478,195,145
28980,478,198,145
29040,478,197,145
29100,478,198,145
29160,476,198,145
29220,475,198,145
29280,475,198,145
29340,475,198,145
29400,475,198,145
29460,475,101,145
29520,473,80,145
29580,473,181,145
29640,473,151,145
29700,473,124,145
29760,473,191,145
29820,473,191,145
29880,473,152,145
29940,473,120,145
30000,471,120,145
30060,477,120,145
30120,477,120,170
30180,477,152,141
30240,477,152,145
30300,477,152,190
30360,477,152,84
30420,477,152,198
30480,477,152,198
30540,477,152,194
