epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
15,1373.52,0.89858,0.80202,0.97717,0.51143,0.59765,0.59282,0.42564,0.96987,1.17047,1.05256,0.00430786,0.00143595,0.00430786,0.00143595,0.00430786,0.00143595,0.00430786,0.00143595
16,1415.06,0.82662,0.68583,0.93416,0.50194,0.66059,0.57492,0.41649,0.97659,1.18968,1.05404,0.00425835,0.00141945,0.00425835,0.00141945,0.00425835,0.00141945,0.00425835,0.00141945
17,1455.65,0.88678,0.68525,0.97874,0.51794,0.80518,0.598,0.42615,0.98284,1.04567,1.06278,0.00420884,0.00140295,0.00420884,0.00140295,0.00420884,0.00140295,0.00420884,0.00140295
18,1501.38,0.88458,0.69511,0.95372,0.54699,0.71151,0.62261,0.44829,0.98255,1.10252,1.06448,0.00415933,0.00138644,0.00415933,0.00138644,0.00415933,0.00138644,0.00415933,0.00138644
19,1537.3,0.87831,0.67836,0.94487,0.53591,0.77504,0.62826,0.45899,0.97846,1.06746,1.05901,0.00410982,0.00136994,0.00410982,0.00136994,0.00410982,0.00136994,0.00410982,0.00136994
20,1577.4,0.83503,0.68647,0.95012,0.53456,0.78064,0.63025,0.45543,0.98198,1.03866,1.05862,0.00406031,0.00135344,0.00406031,0.00135344,0.00406031,0.00135344,0.00406031,0.00135344
21,1622.37,0.83401,0.60577,0.96078,0.49501,0.72796,0.59636,0.43194,0.95806,1.07067,1.0523,0.0040108,0.00133693,0.0040108,0.00133693,0.0040108,0.00133693,0.0040108,0.00133693
22,1664.5,0.77731,0.55288,0.91117,0.50158,0.61552,0.59866,0.42953,0.99749,1.22133,1.06366,0.00396129,0.00132043,0.00396129,0.00132043,0.00396129,0.00132043,0.00396129,0.00132043
23,1701.43,0.80283,0.5406,0.92405,0.51694,0.72934,0.60526,0.44499,0.97338,1.13295,1.04931,0.00391178,0.00130393,0.00391178,0.00130393,0.00391178,0.00130393,0.00391178,0.00130393
24,1754.89,0.77529,0.53298,0.92967,0.51582,0.65138,0.57974,0.42885,0.96586,1.25188,1.05027,0.00386227,0.00128742,0.00386227,0.00128742,0.00386227,0.00128742,0.00386227,0.00128742
