frame,time_remaining,team_a_score,team_b_score,player_count_map,enemy_count_map,combined_score,score_drop
0,447,0.0,6.0,0,0,6.0,
1,447,0.0,6.0,0,0,6.0,0.0
2,447,0.0,6.0,0,0,6.0,0.0
3,447,0.0,6.0,0,0,6.0,0.0
4,447,0.0,6.0,0,0,6.0,0.0
5,447,0.0,6.0,0,0,6.0,0.0
6,447,0.0,6.0,0,0,6.0,0.0
7,447,0.0,6.0,0,0,6.0,0.0
8,447,0.0,6.0,0,0,6.0,0.0
9,447,0.0,6.0,0,0,6.0,0.0
10,447,0.0,6.0,0,0,6.0,0.0
11,447,0.0,6.0,0,0,6.0,0.0
12,447,0.0,6.0,0,0,6.0,0.0
13,447,0.0,6.0,0,0,6.0,0.0
14,447,0.0,6.0,0,0,6.0,0.0
15,447,0.0,6.0,0,0,6.0,0.0
16,447,0.0,6.0,0,0,6.0,0.0
17,447,0.0,6.0,0,0,6.0,0.0
18,447,0.0,6.0,0,0,6.0,0.0
19,447,0.0,6.0,0,0,6.0,0.0
20,447,0.0,6.0,0,0,6.0,0.0
21,447,0.0,6.0,0,0,6.0,0.0
22,447,0.0,6.0,0,0,6.0,0.0
23,447,0.0,6.0,0,0,6.0,0.0
24,447,0.0,6.0,0,0,6.0,0.0
25,447,0.0,6.0,0,0,6.0,0.0
26,447,0.0,6.0,0,0,6.0,0.0
27,447,0.0,6.0,0,0,6.0,0.0
28,447,0.0,6.0,0,0,6.0,0.0
29,447,0.0,6.0,0,0,6.0,0.0
30,447,0.0,6.0,0,0,6.0,0.0
31,447,0.0,6.0,0,0,6.0,0.0
32,447,0.0,6.0,0,0,6.0,0.0
33,447,0.0,6.0,0,0,6.0,0.0
34,447,0.0,6.0,0,0,6.0,0.0
35,447,0.0,6.0,0,0,6.0,0.0
36,447,0.0,6.0,0,0,6.0,0.0
37,447,0.0,6.0,0,0,6.0,0.0
38,447,0.0,6.0,0,0,6.0,0.0
39,447,0.0,6.0,0,0,6.0,0.0
40,447,0.0,6.0,0,0,6.0,0.0
41,447,0.0,6.0,0,0,6.0,0.0
42,447,0.0,6.0,0,0,6.0,0.0
43,447,0.0,6.0,0,0,6.0,0.0
44,447,0.0,6.0,0,0,6.0,0.0
45,447,0.0,6.0,0,0,6.0,0.0
46,447,0.0,6.0,0,0,6.0,0.0
47,447,0.0,6.0,0,0,6.0,0.0
48,447,0.0,6.0,0,0,6.0,0.0
49,447,0.0,6.0,0,0,6.0,0.0
50,447,0.0,6.0,0,0,6.0,0.0
51,447,0.0,6.0,0,0,6.0,0.0
52,447,0.0,6.0,0,0,6.0,0.0
53,447,0.0,6.0,0,0,6.0,0.0
54,447,0.0,6.0,0,0,6.0,0.0
55,447,0.0,6.0,0,0,6.0,0.0
56,447,0.0,6.0,0,0,6.0,0.0
57,447,0.0,6.0,0,0,6.0,0.0
58,447,0.0,6.0,0,0,6.0,0.0
59,447,0.0,6.0,0,0,6.0,0.0
60,447,0.0,6.0,0,0,6.0,0.0
61,447,0.0,6.0,0,0,6.0,0.0
62,447,0.0,6.0,0,0,6.0,0.0
63,447,0.0,6.0,0,0,6.0,0.0
64,447,0.0,6.0,0,0,6.0,0.0
65,447,0.0,6.0,0,0,6.0,0.0
66,447,0.0,6.0,0,0,6.0,0.0
67,447,0.0,6.0,0,0,6.0,0.0
68,447,0.0,6.0,0,0,6.0,0.0
69,447,0.0,6.0,0,0,6.0,0.0
70,447,0.0,6.0,0,0,6.0,0.0
71,447,0.0,6.0,0,0,6.0,0.0
72,447,0.0,6.0,0,0,6.0,0.0
73,447,0.0,6.0,0,0,6.0,0.0
74,447,0.0,6.0,0,0,6.0,0.0
75,447,0.0,6.0,0,0,6.0,0.0
76,447,0.0,6.0,0,0,6.0,0.0
77,447,0.0,6.0,0,0,6.0,0.0
78,447,0.0,6.0,0,0,6.0,0.0
79,447,0.0,6.0,0,0,6.0,0.0
80,447,0.0,6.0,0,0,6.0,0.0
81,447,0.0,6.0,0,0,6.0,0.0
82,447,0.0,6.0,0,0,6.0,0.0
83,447,0.0,6.0,0,0,6.0,0.0
84,447,0.0,6.0,0,0,6.0,0.0
85,447,0.0,6.0,0,0,6.0,0.0
86,447,0.0,6.0,0,0,6.0,0.0
87,447,0.0,6.0,0,0,6.0,0.0
88,447,0.0,6.0,0,0,6.0,0.0
89,447,0.0,6.0,0,0,6.0,0.0
90,447,0.0,6.0,0,0,6.0,0.0
91,447,0.0,6.0,0,0,6.0,0.0
92,447,0.0,6.0,0,0,6.0,0.0
93,447,0.0,6.0,0,0,6.0,0.0
94,447,0.0,6.0,0,0,6.0,0.0
95,447,0.0,6.0,0,0,6.0,0.0
96,447,0.0,6.0,0,0,6.0,0.0
97,447,0.0,6.0,0,0,6.0,0.0
98,447,0.0,6.0,0,0,6.0,0.0
99,447,0.0,6.0,0,0,6.0,0.0
100,447,0.0,6.0,0,0,6.0,0.0
101,447,0.0,6.0,0,0,6.0,0.0
102,447,0.0,6.0,0,0,6.0,0.0
103,447,0.0,6.0,0,0,6.0,0.0
104,447,0.0,6.0,0,0,6.0,0.0
105,447,0.0,6.0,0,0,6.0,0.0
106,447,0.0,6.0,0,0,6.0,0.0
107,447,0.0,6.0,0,0,6.0,0.0
108,447,0.0,6.0,0,0,6.0,0.0
109,447,0.0,6.0,0,0,6.0,0.0
110,447,0.0,6.0,0,0,6.0,0.0
111,447,0.0,6.0,0,0,6.0,0.0
112,447,0.0,6.0,0,0,6.0,0.0
113,447,0.0,6.0,0,0,6.0,0.0
114,447,0.0,6.0,0,0,6.0,0.0
115,447,0.0,6.0,0,0,6.0,0.0
